SAND,CLAY,SILT,BD,KSAT,SAT,DUL,LL,AirDry,PO,SWCON,CONA,DiffusConst,XF_maize,KL_maize,e,PH,CO,CEC,SW,TOP_LAYER,BOT_LAYER,THICK,RootCN,RootWt,id_cell,id_within_cell
17.0,14.0,69.0,1.52,9.92482449411842,0.391,0.271,0.115,0.10350000000000001,0.4264150943396226,0.3644690265486725,3.6,40.0,1.0,0.08,0.5,7.41,1.453488372093023,15.0,0.271,50,100,50,45,1000,613,3
17.0,14.0,69.0,1.52,9.92482449411842,0.391,0.271,0.115,0.10350000000000001,0.4264150943396226,0.3644690265486725,3.6,40.0,1.0,0.08,0.5,7.41,1.453488372093023,15.0,0.271,100,150,50,45,1000,613,3
17.0,14.0,69.0,1.52,9.92482449411842,0.391,0.271,0.115,0.10350000000000001,0.4264150943396226,0.3644690265486725,3.6,40.0,1.0,0.08,0.5,7.41,1.453488372093023,15.0,0.271,150,200,50,45,1000,613,3
12.95,20.45,66.6,1.5865,6.706211554389072,0.38144545454545453,0.29135,0.14355,0.138155,0.40132075471698114,0.2636557616268123,3.76125,40.0,1.0,0.0714288503699622,0.5,7.41,0.6904069767441859,16.75,0.29135,200,400,200,45,1000,613,3
10.0,29.0,61.0,1.71,4.090026801030735,0.3522727272727273,0.32,0.184,0.184,0.3547169811320755,0.09787234042553199,3.975,40.0,1.0,0.06297952479611499,0.5,7.41,0.436046511627907,20.0,0.32,400,600,200,45,1000,613,3
26.5,28.45,45.05,1.7594999999999998,6.259326323627281,0.33352272727272736,0.3057,0.1884,0.1884,0.33603773584905655,0.08991902377972458,3.96125,40.0,1.0,0.05326831252791713,0.5,7.41,0.27616279069767447,20.0,0.3057,600,800,200,45,1000,613,3
40.0,28.0,32.0,1.8,8.034207751206274,0.31818181818181823,0.294,0.192,0.192,0.320754716981132,0.0834117647058822,3.95,40.0,1.0,0.04532277521757343,0.5,7.41,0.14534883720930233,20.0,0.294,800,1000,200,45,1000,613,3
42.3,24.32,33.38,1.8,12.79608261597505,0.31818181818181823,0.27008,0.17176000000000002,0.17176000000000002,0.320754716981132,0.15798588235294103,3.858,40.0,1.0,0.04017618537594082,0.5,7.41,0.08373556332776425,15.4,0.27008,1000,1500,500,45,1000,613,3
45.0,15.0,40.0,1.8,18.66897147796024,0.31818181818181823,0.216,0.11199999999999999,0.11199999999999999,0.320754716981132,0.3265882352941175,3.625,40.0,0.1,0.026438193029117946,0.5,7.41,0.14534883720930233,10.0,0.216,1500,2000,500,45,1000,613,3
11.0,29.0,60.0,1.41,4.207154631101201,0.439,0.332,0.204,0.19379999999999994,0.4679245283018868,0.2904838709677419,3.975,40.0,1.0,0.08,0.5,7.41,2.3255813953488373,17.0,0.332,0,50,50,45,1000,632,2
11.0,29.0,60.0,1.41,4.207154631101201,0.439,0.332,0.204,0.19379999999999994,0.4679245283018868,0.2904838709677419,3.975,40.0,1.0,0.08,0.5,7.41,2.3255813953488373,17.0,0.332,50,100,50,45,1000,632,2
11.0,29.0,60.0,1.41,4.207154631101201,0.439,0.332,0.204,0.19379999999999994,0.4679245283018868,0.2904838709677419,3.975,40.0,1.0,0.08,0.5,7.41,2.3255813953488373,17.0,0.332,100,150,50,45,1000,632,2
11.0,29.0,60.0,1.41,4.207154631101201,0.439,0.332,0.204,0.19379999999999994,0.4679245283018868,0.2904838709677419,3.975,40.0,1.0,0.08,0.5,7.41,2.3255813953488373,17.0,0.332,150,200,50,45,1000,632,2
12.0,30.0,58.0,1.475,4.142490126249643,0.4278333333333333,0.32900000000000007,0.19949999999999998,0.1944,0.44339622641509435,0.2560977913397268,3.9875,40.0,1.0,0.06172931976390534,0.5,7.41,1.4534883720930234,15.5,0.32900000000000007,200,400,200,45,1000,632,2
13.0,31.0,56.0,1.54,4.077825621398086,0.41666666666666663,0.326,0.195,0.195,0.4188679245283019,0.2217117117117117,4.0,40.0,1.0,0.04345863952781068,0.5,7.41,0.5813953488372093,14.0,0.326,400,600,200,45,1000,632,2
